"DateTime","2021 All-Star Game"
"2021-03-27 14:05:55",10441
"2021-03-27 15:05:51",10372
"2021-03-27 18:08:01",10044
"2021-03-27 19:06:26",10196
"2021-03-27 20:07:03",10175
"2021-03-27 21:08:20",10099
"2021-03-27 22:07:04",10041
"2021-03-27 23:05:50",10068
"2021-03-28 00:05:51",9982
"2021-03-28 01:05:46",9948
"2021-03-28 02:05:59",9951
"2021-03-28 03:05:36",9932
"2021-03-28 05:05:20",9771
"2021-03-28 06:05:25",9784
"2021-03-28 07:05:19",9726
"2021-03-28 08:05:35",9672
"2021-03-28 09:05:35",9561
"2021-03-28 10:05:38",9547
"2021-03-28 11:05:41",9528
"2021-03-28 12:06:00",9516
"2021-03-28 13:05:35",9505
"2021-03-28 14:05:42",9401
"2021-03-28 15:05:32",9445
"2021-03-28 16:05:43",9372
"2021-03-28 17:05:52",9294
"2021-03-28 18:05:56",9319
"2021-03-28 19:05:50",9352
"2021-03-28 20:05:58",9409
"2021-03-28 21:05:43",9334
"2021-03-28 22:05:54",9330
"2021-03-28 23:05:45",9249
"2021-03-29 00:05:36",9253
"2021-03-29 01:05:21",9351
"2021-03-29 02:05:29",9322
"2021-03-29 03:05:44",9336
"2021-03-29 04:05:17",9330
"2021-03-29 05:05:02",9243
"2021-03-29 06:05:19",9324
"2021-03-29 07:05:07",9335
"2021-03-29 08:05:23",9234
"2021-03-29 09:06:00",9230
"2021-03-29 10:05:49",9170
"2021-03-29 11:06:00",9148
"2021-03-29 12:06:19",9091
"2021-03-29 13:08:49",9209
"2021-03-29 14:12:07",9096
"2021-03-29 15:06:18",8933
"2021-03-29 16:06:08",8915
"2021-03-29 17:06:12",8911
"2021-03-29 18:05:58",8829
"2021-03-29 19:05:49",8716
"2021-03-29 20:06:12",8668
"2021-03-29 21:06:05",8521
"2021-03-29 22:06:19",8482
"2021-03-29 23:05:51",8326
"2021-03-30 00:05:50",8440
"2021-03-30 01:05:39",8384
"2021-03-30 02:05:34",8401
"2021-03-30 03:05:26",8367
"2021-03-30 04:06:28",8372
"2021-03-30 05:13:42",8363
"2021-03-30 06:05:16",8327
"2021-03-30 07:05:19",8273
"2021-03-30 08:09:38",8254
"2021-03-30 09:31:18",8262
"2021-03-30 10:14:04",8195
"2021-03-30 11:05:53",8219
"2021-03-30 12:05:57",8145
"2021-03-30 13:06:15",8221
"2021-03-30 14:06:32",8452
"2021-03-30 15:06:12",8452
"2021-03-30 16:06:03",8479
"2021-03-30 17:05:57",8489
"2021-03-30 18:05:49",8493
"2021-03-30 19:05:51",8564
"2021-03-30 20:06:01",8477
"2021-03-30 21:06:05",8490
"2021-03-30 23:07:05",8568
"2021-03-31 00:06:34",8578
"2021-03-31 01:05:17",8787
"2021-03-31 02:05:28",8797
"2021-03-31 03:05:19",8853
"2021-03-31 04:05:15",8886
"2021-03-31 05:05:07",8909
"2021-03-31 06:05:18",8929
"2021-03-31 07:05:16",8951
"2021-03-31 08:05:25",8953
"2021-03-31 09:05:47",8965
"2021-03-31 10:05:54",8989
"2021-03-31 11:06:02",8973
"2021-03-31 12:06:00",8971
"2021-03-31 13:06:08",9002
"2021-03-31 14:06:15",9060
"2021-03-31 15:06:11",9074
"2021-03-31 16:06:25",8925
"2021-03-31 17:06:04",8780
"2021-03-31 18:06:01",8770
"2021-03-31 19:05:58",8681
"2021-03-31 20:05:58",8624
"2021-03-31 21:06:20",8548
"2021-03-31 22:06:04",8492
"2021-03-31 23:05:58",8438
"2021-04-01 00:05:45",8548
"2021-04-01 01:05:29",8602
"2021-04-01 02:05:26",8727
"2021-04-01 03:05:16",8779
"2021-04-01 04:05:23",8786
"2021-04-01 05:05:20",8773
"2021-04-01 06:05:26",8822
"2021-04-01 07:05:25",8805
"2021-04-01 08:05:35",8797
"2021-04-01 09:05:41",8794
"2021-04-01 10:06:01",8880
"2021-04-01 11:06:17",8891
"2021-04-01 12:06:20",8729
"2021-04-01 13:06:24",7842
"2021-04-01 14:06:30",8225
"2021-04-01 15:06:36",8224
"2021-04-01 16:07:04",8246
"2021-04-01 17:06:50",8232
"2021-04-01 19:06:17",8167
"2021-04-01 20:06:06",7968
"2021-04-01 21:06:13",7990
"2021-04-01 22:06:00",7957
"2021-04-01 23:05:50",7953
"2021-04-02 00:05:32",7894
"2021-04-02 01:05:22",8000
"2021-04-02 02:05:38",7996
"2021-04-02 03:05:21",7979
"2021-04-02 04:05:18",7976
"2021-04-02 05:05:15",7972
"2021-04-02 06:05:18",7980
"2021-04-02 07:05:21",7985
"2021-04-02 08:05:28",8004
"2021-04-02 09:05:34",7949
